설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
큰엉(남원관광지구),화장실외벽 동,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 태위로 522-17,,제주특별자치도,064-710-2352,33.273409,126.703757,2019-08-31
큰엉(남원관광지구),화장실외벽 서,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 태위로 522-17,,제주특별자치도,064-710-2352,33.273409,126.703757,2019-08-31
송악산,화장실외벽 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 상모리 238,,제주특별자치도,064-710-2352,33.199104,126.293515,2019-08-31
송악산,화장실외벽 북,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 상모리 238,,제주특별자치도,064-710-2352,33.199104,126.293515,2019-08-31
기당미술관,매표소홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Jul-17,제주특별자치도 서귀포시 남성중로153번길 15,제주특별자치도 서귀포시 서홍동 621,제주특별자치도,064-710-2352,33.244669,126.551797,2019-08-31
기당미술관,휴게실,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Jul-17,제주특별자치도 서귀포시 남성중로153번길 15,제주특별자치도 서귀포시 서홍동 621,제주특별자치도,064-710-2352,33.244669,126.551797,2019-08-31
돈내코,야외무대화장실남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 돈내코로 120,제주특별자치도 서귀포시 상효동 1460,제주특별자치도,064-710-2352,33.300433,126.5842033,2019-08-31
돈내코,야외무대화장실북,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 돈내코로 120,제주특별자치도 서귀포시 상효동 1460,제주특별자치도,064-710-2352,33.300433,126.5842033,2019-08-31
돈내코,원앙폭포 안전CCTV폴대,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 돈내코로 120,제주특별자치도 서귀포시 상효동 1463,제주특별자치도,064-710-2352,33.300546,126.581741,2019-08-31
돈내코,관리사무실 외벽 동,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 돈내코로 120,제주특별자치도 서귀포시 상효동 1459,제주특별자치도,064-710-2352,33.3004184,126.5842033,2019-08-31
돈내코,관리사무실 외벽 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 돈내코로 120,제주특별자치도 서귀포시 상효동 1459,제주특별자치도,064-710-2352,33.3004184,126.5842033,2019-08-31
돈내코,관리사무실 외벽 북,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 돈내코로 120,제주특별자치도 서귀포시 상효동 1459,제주특별자치도,064-710-2352,33.3004184,126.5842033,2019-08-31
서귀포감귤박물관,매표소홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 산4,제주특별자치도,064-710-2352,33.271539,126.607658,2019-08-31
서귀포감귤박물관,본관홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 산4,제주특별자치도,064-710-2352,33.271539,126.607658,2019-08-31
서귀포자연휴양림,동백동 옥상,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 하원동 산1-1,,제주특별자치도,064-710-2352,33.311949,126.45911,2019-08-31
서귀포자연휴양림,관리동 건물외벽 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 하원동 산1-1,,제주특별자치도,064-710-2352,33.311458,126.458844,2019-08-31
서귀포자연휴양림,관리동 건물외벽 동,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 하원동 산1-1,,제주특별자치도,064-710-2352,33.311458,126.458844,2019-08-31
서귀포자연휴양림,건물외벽 동쪽방향,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Sep-17,제주특별자치도 서귀포시 하원동 산1-1,,제주특별자치도,064-710-2352,33.312597,126.459548,2019-08-31
서귀포자연휴양림,건물외벽 족구장방향,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Sep-17,제주특별자치도 서귀포시 하원동 산1-1,,제주특별자치도,064-710-2352,33.312597,126.459548,2019-08-31
엉또폭포,화장실 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 염돈로 121-6,,제주특별자치도,064-710-2352,33.265064,126.4919842,2019-08-31
엉또폭포,화장실북,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 염돈로 121-6,,제주특별자치도,064-710-2352,33.265064,126.4919842,2019-08-31
예래생태체험관,건물외벽 2층옥상,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 예래로 213,제주특별자치도 서귀포시 하예동 24-1,제주특별자치도,064-710-2352,33.244486,126.390977,2019-08-31
외돌개,어린이CCTV폴대1,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 서홍동 784-4,,제주특별자치도,064-710-2352,33.240936,126.546826,2019-08-31
외돌개,어린이CCTV폴대2,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 서홍동 784-4,,제주특별자치도,064-710-2352,33.240936,126.546826,2019-08-31
정방폭포,관광안내소 외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 동홍동 279-7,,제주특별자치도,064-710-2352,33.244836,126.573917,2019-08-31
제주한란전시관,매표소홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 돈내코로67번길 19,,제주특별자치도,064-710-2352,33.296253,126.590654,2019-08-31
제주한란전시관,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 돈내코로67번길 19,,제주특별자치도,064-710-2352,33.296253,126.590654,2019-08-31
천제연폭포,매표소 건물외벽 동,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문동 2232,,제주특별자치도,064-710-2352,33.252692,126.418437,2019-08-31
천제연폭포,매표소 건물외벽 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문동 2232,,제주특별자치도,064-710-2352,33.252692,126.418437,2019-08-31
천제연폭포,매표소 건물외벽 북,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문동 2232,,제주특별자치도,064-710-2352,33.252692,126.418437,2019-08-31
섭지코지,상가관리사무실 외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 고성리 62-1,,제주특별자치도,064-710-2352,33.423688,126.929771,2019-08-31
혼인지,KT 전주 1-1,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 온평리 1702-1,,제주특별자치도,064-710-2352,33.414956,126.894949,2019-08-31
혼인지,KT 전주 1-2,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 온평리 1702-1,,제주특별자치도,064-710-2352,33.414956,126.894949,2019-08-31
혼인지,KT 전주 2,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 온평리 1702-1,,제주특별자치도,064-710-2352,33.414956,126.894949,2019-08-31
산방산,산방산입구 매표소 가로등1,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 사계리 181-2,,제주특별자치도,064-710-2352,33.236719,126.31283,2019-08-31
산방산,산방산입구 매표소 가로등2,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 사계리 181-2,,제주특별자치도,064-710-2352,33.236719,126.31283,2019-08-31
산방산,용머리 2  매표소 외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 사계리 116-7,,제주특별자치도,064-710-2352,33.233441,126.313742,2019-08-31
성산일출봉,화장실 외벽 동,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 성산리 104-1,,제주특별자치도,064-710-2352,33.46292,126.937941,2019-08-31
성산일출봉,화장실 외벽 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 성산리 104-1,,제주특별자치도,064-710-2352,33.46292,126.937941,2019-08-31
성산일출봉,화장실 외벽 북,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 성산리 104-1,,제주특별자치도,064-710-2352,33.46292,126.937941,2019-08-31
성산일출봉,화장실 외벽 동,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 성산리 114-3,,제주특별자치도,064-710-2352,33.46248,126.935222,2019-08-31
성산일출봉,화장실 외벽 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 성산리 114-3,,제주특별자치도,064-710-2352,33.46248,126.935222,2019-08-31
성산일출봉,매표소 옥상 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 성산리 114-3,,제주특별자치도,064-710-2352,33.46248,126.935222,2019-08-31
성산일출봉,매표소 옥상 동,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 성산리 114-3,,제주특별자치도,064-710-2352,33.46248,126.935222,2019-08-31
남원읍사무소[북] (남원포구입구 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 남원리 100-3,,제주특별자치도,064-710-2352,33.27937,126.719875,2019-08-31
남원읍사무소[남] (씨사이드홈 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 남원리 99-13,,제주특별자치도,064-710-2352,33.279417,126.720518,2019-08-31
