연도,구분,,"발생량 및
처리현황",,총계,종량제 방식에 의한 혼합배출,,,,재활용가능자원 분리배출,"음식물류
폐기물
분리배출",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,소계,가연성,불연성,"기타
(배출불명등)",소계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시도,시군구,,,,,소계,소계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,제주,소계,발생량,,"1,313.9",541.9,351.2,190.7,0.0,559.3,212.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,처리방법,매립,209.7,209.7,23.8,185.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소각,332.2,332.2,327.4,4.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,772.0,0.0,0.0,0.0,0.0,559.3,212.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,제주,제주시,발생량,,923.2,389.9,251.2,138.7,0.0,391.2,142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,처리방법,매립,138.7,138.7,0.0,138.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소각,251.2,251.2,251.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,533.3,0.0,0.0,0.0,0.0,391.2,142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,제주,서귀포시,발생량,,390.7,152.0,100.0,52.0,0.0,168.1,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,처리방법,매립,71.0,71.0,23.8,47.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소각,81.0,81.0,76.2,4.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,238.7,0.0,0.0,0.0,0.0,168.1,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,제주,소계,발생량,,"1,312.1",572.2,375.9,196.3,0.0,517.9,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,처리방법,매립,244.7,244.7,48.4,196.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소각,319.4,319.4,319.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,748.0,8.1,8.1,0.0,0.0,517.9,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,제주,제주시,발생량,,881.3,381.4,238.8,142.6,0.0,351.7,148.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,처리방법,매립,142.6,142.6,0.0,142.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소각,238.8,238.8,238.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,499.9,0.0,0.0,0.0,0.0,351.7,148.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,제주,서귀포시,발생량,,430.8,190.8,137.1,53.7,0.0,166.2,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
